z,H_D_proxy_median,H_D_proxy_p16,H_D_proxy_p84,H_D_prime_proxy_median,H_D_double_prime_proxy_median,FiniteSamples,BootstrapSamples,Source,ClaimBoundary
0.38,0.039579359505055985,0.038484647236767845,0.04619530853129186,0.03670085622087576,1.817360683621772e-10,12,12,data/physical_nulls/backreaction_reproduction/source_native_training_bao_hd_proxy.csv,source_native_normalized_criteria3_bootstrap_smoke_no_measurement_validation
0.51,0.0443523887286584,0.0434244293295676,0.04974532121145034,0.036700856220868425,0.0,12,12,data/physical_nulls/backreaction_reproduction/source_native_training_bao_hd_proxy.csv,source_native_normalized_criteria3_bootstrap_smoke_no_measurement_validation
0.698,0.050888404961312375,0.05047795960343214,0.054964141477355524,0.036700856220868425,0.0,12,12,data/physical_nulls/backreaction_reproduction/source_native_training_bao_hd_proxy.csv,source_native_normalized_criteria3_bootstrap_smoke_no_measurement_validation
0.706,0.05118763775578429,0.050780734148690485,0.05519236139614532,0.03670085622088619,1.817360683621772e-10,12,12,data/physical_nulls/backreaction_reproduction/source_native_training_bao_hd_proxy.csv,source_native_normalized_criteria3_bootstrap_smoke_no_measurement_validation
0.93,0.0597200054114817,0.05931746611770598,0.06158251912225979,0.03670085622088619,0.0,12,12,data/physical_nulls/backreaction_reproduction/source_native_training_bao_hd_proxy.csv,source_native_normalized_criteria3_bootstrap_smoke_no_measurement_validation
0.934,0.05987462120719518,0.05946345644051611,0.06169662908165469,0.036700856220877306,0.0,12,12,data/physical_nulls/backreaction_reproduction/source_native_training_bao_hd_proxy.csv,source_native_normalized_criteria3_bootstrap_smoke_no_measurement_validation
1.317,0.07382727987504942,0.07221191200997598,0.07461189259925294,0.03728638242099423,0.0,12,12,data/physical_nulls/backreaction_reproduction/source_native_training_bao_hd_proxy.csv,source_native_normalized_criteria3_bootstrap_smoke_no_measurement_validation
1.321,0.07397714577901884,0.07232291063966778,0.07476513622809185,0.037286382420976476,0.0,12,12,data/physical_nulls/backreaction_reproduction/source_native_training_bao_hd_proxy.csv,source_native_normalized_criteria3_bootstrap_smoke_no_measurement_validation
1.48,0.07967587633542432,0.07727263853905869,0.08075902264507553,0.03728638242099423,-1.817360683621772e-10,12,12,data/physical_nulls/backreaction_reproduction/source_native_training_bao_hd_proxy.csv,source_native_normalized_criteria3_bootstrap_smoke_no_measurement_validation
1.484,0.07981038562445537,0.07738674849845359,0.08090950268849027,0.03728638242099423,0.0,12,12,data/physical_nulls/backreaction_reproduction/source_native_training_bao_hd_proxy.csv,source_native_normalized_criteria3_bootstrap_smoke_no_measurement_validation
2.33,0.11178082005530791,0.10152100491047517,0.11378424824646044,0.03728638242094097,1.817360683621772e-10,12,12,data/physical_nulls/backreaction_reproduction/source_native_training_bao_hd_proxy.csv,source_native_normalized_criteria3_bootstrap_smoke_no_measurement_validation
2.334,0.11193068595927735,0.10163511486987008,0.11393881377590094,0.037286382420976476,0.0,12,12,data/physical_nulls/backreaction_reproduction/source_native_training_bao_hd_proxy.csv,source_native_normalized_criteria3_bootstrap_smoke_no_measurement_validation
