CheckID,ExtractionID,GridIndex,z_grid,x_k1_coordinate,Alpha,ClumpinessAmplitude,SourceSplitResponse,AlphaASDeclaredPreview,ResidualAfterAlpha,K1Response,K2LockedRho4,SigmaDiagProxy,OriginalMinusK2,ResidualAfterAlphaMinusK2,OriginalSign,ResidualAfterAlphaSign,K2Sign,SignStableTemplate,AlphaChangesTargetSign,ClaimBoundary
ALPHA_SUBTRACTED_K2_RESIDUAL_PREFLIGHT_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,0,0.51,0.3449908242954462,0.685,0.3149999999999999,-5.101385205889281,-0.1590373839298877,-4.942347821959394,-0.2032287991395038,-0.2366073805512978,3.6072240725290423,-4.864777825337984,-4.705740441408096,-1,-1,-1,True,False,alpha_subtraction_prefight_no_measurement_validation
ALPHA_SUBTRACTED_K2_RESIDUAL_PREFLIGHT_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,1,0.7375,0.4682655446968191,0.685,0.3149999999999999,-4.042742053840544,-0.1195344978427562,-3.923207555997788,-0.2192846011690317,-0.3093472542642125,2.8586503208586795,-3.7333947995763315,-3.6138603017335753,-1,-1,-1,True,False,alpha_subtraction_prefight_no_measurement_validation
ALPHA_SUBTRACTED_K2_RESIDUAL_PREFLIGHT_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,2,0.965,0.5755375138345268,0.685,0.3149999999999999,-1.0612908027787438,-0.0751779035380205,-0.9861128992407233,-0.0650843299689463,-0.11471582286930126,0.7504459234557644,-0.9465749799094425,-0.871397076371422,-1,-1,-1,True,False,alpha_subtraction_prefight_no_measurement_validation
ALPHA_SUBTRACTED_K2_RESIDUAL_PREFLIGHT_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,3,1.1925,0.6692388167013362,0.685,0.3149999999999999,0.1211657917854815,-0.028780679229061,0.1499464710145425,0.0001516812476995,0.0003335404374077305,0.0904224520916678,0.12083225134807377,0.14961293057713476,1,1,1,False,False,alpha_subtraction_prefight_no_measurement_validation
ALPHA_SUBTRACTED_K2_RESIDUAL_PREFLIGHT_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,4,1.42,0.7515739767083173,0.685,0.3149999999999999,-1.66707598793248,0.0179027919452116,-1.6849787798776914,-0.1996724490854003,-0.5387455505959784,1.1788007358203196,-1.1283304373365015,-1.146233229281713,-1,-1,-1,True,False,alpha_subtraction_prefight_no_measurement_validation
ALPHA_SUBTRACTED_K2_RESIDUAL_PREFLIGHT_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,5,1.6475,0.8244143775463955,0.685,0.3149999999999999,-1.3950527132306294,0.0638265679370861,-1.4588792811677156,-0.1766101114929631,-0.5724433207587397,0.98645123363807,-0.8226093924718897,-0.8864359604089759,-1,-1,-1,True,False,alpha_subtraction_prefight_no_measurement_validation
ALPHA_SUBTRACTED_K2_RESIDUAL_PREFLIGHT_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,6,1.875,0.8893016935201591,0.685,0.3149999999999999,-2.4164046464078455,0.1083971200562546,-2.5248017664641003,-0.3416394100954415,-1.3027543158490584,1.708656111565669,-1.113650330558787,-1.2220474506150418,-1,-1,-1,False,False,alpha_subtraction_prefight_no_measurement_validation
ALPHA_SUBTRACTED_K2_RESIDUAL_PREFLIGHT_V1,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,8,2.33,1.0,0.685,0.3149999999999999,-1.9828338698253765,0.192403984601173,-2.1752378544265496,-0.1580742509125811,-0.7903712545629055,1.4020752753198875,-1.192462615262471,-1.3848665998636442,-1,-1,-1,False,False,alpha_subtraction_prefight_no_measurement_validation
ALPHA_SUBTRACTED_K2_RESIDUAL_PREFLIGHT_V1,PX_ZKDR_1303_TABLE7_JOINT_ALPHA_WITH_HUBBLE,0,0.51,0.3449908242954462,0.821,0.179,-5.101385205889281,-0.0903736245188886,-5.011011581370393,-0.2032287991395038,-0.2366073805512978,3.6072240725290423,-4.864777825337984,-4.774404200819095,-1,-1,-1,True,False,alpha_subtraction_prefight_no_measurement_validation
ALPHA_SUBTRACTED_K2_RESIDUAL_PREFLIGHT_V1,PX_ZKDR_1303_TABLE7_JOINT_ALPHA_WITH_HUBBLE,1,0.7375,0.4682655446968191,0.821,0.179,-4.042742053840544,-0.0679259527423916,-3.9748161010981526,-0.2192846011690317,-0.3093472542642125,2.8586503208586795,-3.7333947995763315,-3.66546884683394,-1,-1,-1,True,False,alpha_subtraction_prefight_no_measurement_validation
ALPHA_SUBTRACTED_K2_RESIDUAL_PREFLIGHT_V1,PX_ZKDR_1303_TABLE7_JOINT_ALPHA_WITH_HUBBLE,2,0.965,0.5755375138345268,0.821,0.179,-1.0612908027787438,-0.0427201420104942,-1.0185706607682496,-0.0650843299689463,-0.11471582286930126,0.7504459234557644,-0.9465749799094425,-0.9038548378989484,-1,-1,-1,True,False,alpha_subtraction_prefight_no_measurement_validation
ALPHA_SUBTRACTED_K2_RESIDUAL_PREFLIGHT_V1,PX_ZKDR_1303_TABLE7_JOINT_ALPHA_WITH_HUBBLE,3,1.1925,0.6692388167013362,0.821,0.179,0.1211657917854815,-0.0163547351809585,0.13752052696644,0.0001516812476995,0.0003335404374077305,0.0904224520916678,0.12083225134807377,0.13718698652903225,1,1,1,False,False,alpha_subtraction_prefight_no_measurement_validation
ALPHA_SUBTRACTED_K2_RESIDUAL_PREFLIGHT_V1,PX_ZKDR_1303_TABLE7_JOINT_ALPHA_WITH_HUBBLE,4,1.42,0.7515739767083173,0.821,0.179,-1.66707598793248,0.0101733325656917,-1.6772493204981715,-0.1996724490854003,-0.5387455505959784,1.1788007358203196,-1.1283304373365015,-1.1385037699021932,-1,-1,-1,True,False,alpha_subtraction_prefight_no_measurement_validation
ALPHA_SUBTRACTED_K2_RESIDUAL_PREFLIGHT_V1,PX_ZKDR_1303_TABLE7_JOINT_ALPHA_WITH_HUBBLE,5,1.6475,0.8244143775463955,0.821,0.179,-1.3950527132306294,0.0362697005102807,-1.4313224137409102,-0.1766101114929631,-0.5724433207587397,0.98645123363807,-0.8226093924718897,-0.8588790929821705,-1,-1,-1,True,False,alpha_subtraction_prefight_no_measurement_validation
ALPHA_SUBTRACTED_K2_RESIDUAL_PREFLIGHT_V1,PX_ZKDR_1303_TABLE7_JOINT_ALPHA_WITH_HUBBLE,6,1.875,0.8893016935201591,0.821,0.179,-2.4164046464078455,0.0615970936192685,-2.478001740027114,-0.3416394100954415,-1.3027543158490584,1.708656111565669,-1.113650330558787,-1.1752474241780557,-1,-1,-1,False,False,alpha_subtraction_prefight_no_measurement_validation
ALPHA_SUBTRACTED_K2_RESIDUAL_PREFLIGHT_V1,PX_ZKDR_1303_TABLE7_JOINT_ALPHA_WITH_HUBBLE,8,2.33,1.0,0.821,0.179,-1.9828338698253765,0.109334327757492,-2.0921681975828683,-0.1580742509125811,-0.7903712545629055,1.4020752753198875,-1.192462615262471,-1.301796943019963,-1,-1,-1,False,False,alpha_subtraction_prefight_no_measurement_validation
