ProtocolID,SchemaID,Field,Role,Required,AllowedSource,ForbiddenSource,ConcreteBasisSupplied,ReferenceDomainSelectable,LinearPacketAuthorized,MetricEvaluationAuthorized,PTauCovScoringAuthorized,ClaimBoundary
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_COORDINATE_BASIS_SCHEMA_v1,coordinate_id,stable row identifier for a coordinate/source basis element,True,declared_coordinate_convention,score_or_residual_derived_identifier,False,False,False,False,False,coordinate_basis_schema_declared_no_basis_values_no_packet
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_COORDINATE_BASIS_SCHEMA_v1,coordinate_family,predeclared family/group label for symmetry and blocked audits,True,source_metadata_or_theory_declared_grouping,post_scoring_family_gain_cluster,False,False,False,False,False,coordinate_basis_schema_declared_no_basis_values_no_packet
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_COORDINATE_BASIS_SCHEMA_v1,coordinate_kind,"basis-kind tag such as parent, branch, morphology, clock, environment, or projection",True,Tau_side_definition_or_source_metadata,held_out_residual_pattern,False,False,False,False,False,coordinate_basis_schema_declared_no_basis_values_no_packet
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_COORDINATE_BASIS_SCHEMA_v1,basis_axis,axis name used to build matrices and exclusion subspaces,True,frozen_coordinate_system,P5C_v3_gain_direction,False,False,False,False,False,coordinate_basis_schema_declared_no_basis_values_no_packet
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_COORDINATE_BASIS_SCHEMA_v1,origin_value,target-blind reference value used for Phi_0 origin or center selection,True,physical_zero_or_predeclared_coordinate_center,OOS_DeltaNLL_optimized_center,False,False,False,False,False,coordinate_basis_schema_declared_no_basis_values_no_packet
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_COORDINATE_BASIS_SCHEMA_v1,scale_value,normalization scale for coordinate comparability,True,physical_unit_or_training_blind_source_distribution,target_residual_normalization,False,False,False,False,False,coordinate_basis_schema_declared_no_basis_values_no_packet
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_COORDINATE_BASIS_SCHEMA_v1,is_null_candidate,predeclared flag for possible exact zero-mode audit,True,operator_or_symmetry_declaration,metric_failure_or_success_pattern,False,False,False,False,False,coordinate_basis_schema_declared_no_basis_values_no_packet
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_COORDINATE_BASIS_SCHEMA_v1,is_gauge_candidate,predeclared flag for coordinate redundancy audit,True,basis_symmetry_certificate,post_hoc_covariance_alignment,False,False,False,False,False,coordinate_basis_schema_declared_no_basis_values_no_packet
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_COORDINATE_BASIS_SCHEMA_v1,is_forbidden_candidate,predeclared flag for outcome-derived or target-leaking field exclusion,True,input_provenance_leakage_audit,after_the_fact_manual_exclusion,False,False,False,False,False,coordinate_basis_schema_declared_no_basis_values_no_packet
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_COORDINATE_BASIS_SCHEMA_v1,provenance,human-readable source and freeze note,True,file_hash_or_citable_source_or_theory_note,undocumented_manual_edit,False,False,False,False,False,coordinate_basis_schema_declared_no_basis_values_no_packet
