ProtocolID,FreezeID,FirewallItemID,Satisfied,Requirement,UsesTargetResiduals,UsesScoreOutcome,ScoringAuthorized,ClaimBoundary
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EXPANDED_PARENT_OPERATOR_SCORING_FIREWALL_v1,ESO-FW1_STRUCTURAL_PREFLIGHT_PASS,True,expanded PSD structural preflight passes,False,False,False,expanded_parent_operator_scoring_firewall_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EXPANDED_PARENT_OPERATOR_SCORING_FIREWALL_v1,ESO-FW2_CANDIDATE_HASH_READY,True,expanded PSD candidate matrix exists and can be hashed,False,False,False,expanded_parent_operator_scoring_firewall_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EXPANDED_PARENT_OPERATOR_SCORING_FIREWALL_v1,ESO-FW3_SOURCE_HASH_READY,True,expanded parent-operator source matrix exists and can be hashed,False,False,False,expanded_parent_operator_scoring_firewall_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EXPANDED_PARENT_OPERATOR_SCORING_FIREWALL_v1,ESO-FW4_DOMAIN_HASH_READY,True,expanded domain coordinates exist and can be hashed,False,False,False,expanded_parent_operator_scoring_firewall_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EXPANDED_PARENT_OPERATOR_SCORING_FIREWALL_v1,ESO-FW5_SCORECARD_SCRIPT_FROZEN,True,expanded scorecard script must be frozen separately,False,False,False,expanded_parent_operator_scoring_firewall_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EXPANDED_PARENT_OPERATOR_SCORING_FIREWALL_v1,ESO-FW6_FOLD_POLICY_FROZEN,True,fold policy must be explicitly frozen for the expanded object,False,False,False,expanded_parent_operator_scoring_firewall_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EXPANDED_PARENT_OPERATOR_SCORING_FIREWALL_v1,ESO-FW7_NULL_COMPARATORS_FROZEN,True,null comparators must be frozen for expanded non-outcome axes,False,False,False,expanded_parent_operator_scoring_firewall_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EXPANDED_PARENT_OPERATOR_SCORING_FIREWALL_v1,ESO-FW8_DF_COVARIANCE_POLICY_FROZEN,True,degrees-of-freedom and covariance policy must be frozen,False,False,False,expanded_parent_operator_scoring_firewall_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EXPANDED_PARENT_OPERATOR_SCORING_FIREWALL_v1,ESO-FW9_SURVIVAL_KILL_GATES_FROZEN,True,survival and kill gates must be frozen before scoring,False,False,False,expanded_parent_operator_scoring_firewall_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EXPANDED_PARENT_OPERATOR_SCORING_FIREWALL_v1,ESO-FW10_FINAL_MANIFEST_READY,False,final manifest must bind all hashes and policies,False,False,False,expanded_parent_operator_scoring_firewall_no_scoring
